,song_id,ko_tok,en_tok,ko_type,en_type
104,Lyrics/lesserafim_antifragile.txt,132.0,260,69.0,69
105,Lyrics/bp_pinkvenomn.txt,70.0,342,52.0,113
106,Lyrics/sk_mixtapeoh.txt,252.0,58,136.0,18
107,Lyrics/bts_saveme.txt,168.0,122,99.0,25
108,Lyrics/t_likey.txt,201.0,81,135.0,8
109,Lyrics/t_feelspecial.txt,161.0,86,84.0,22
110,Lyrics/bts_springday.txt,261.0,17,149.0,11
111,Lyrics/txt_crown.txt,194.0,138,107.0,23
112,Lyrics/itzy_dalladalla.txt,157.0,158,73.0,43
113,Lyrics/sk_scars.txt,203.0,54,123.0,24
114,Lyrics/lesserafim_fearless.txt,91.0,310,57.0,36
115,Lyrics/txt_bluehour.txt,157.0,211,85.0,42
