name,popularity,followers,artist_uri
Wanna One,50,1832831,spotify:artist:2CvaqAMMsX576VBehaJ0Wx
A.C.E,43,1376071,spotify:artist:25KT93FeotUTHC1dbLasxi
INFINITE,48,898791,spotify:artist:1bkpTEmumLC3xc7HgMsttU
Overdose,48,6853,spotify:artist:32jdgEsyvdXqUoReMyR0gl
miss A,46,919892,spotify:artist:1BEohdSWSBggmO979tzRwW
Beast,48,475366,spotify:artist:1Pr9gT0veB2tgcisQeIGoC
VIXX,43,973822,spotify:artist:5BkB3rXc0qIdUtuEnhbK0A
VICTON,44,913062,spotify:artist:0ziR2zN0NFcB4x1G3P8cW3
Girl's Day,45,718902,spotify:artist:13kJgvU22LHMsJtGWLmx7W
Cherry Bullet,43,382516,spotify:artist:3IJCdgkBZbieocLZ4e94GZ
TRI.BE,43,254629,spotify:artist:6BgYuNomEs12UIrnxhWE9a
AB6IX,44,545662,spotify:artist:4y0wFJ5jmCUNRLZfsw1I7g
ONEWE,43,383656,spotify:artist:4D9foUQxTrsS0w2BeyCD16
Weki Meki,42,994684,spotify:artist:5LWkv2hDbDwZL3zNwZYNPx
I.O.I,45,1337751,spotify:artist:6RKnXXyprPjhBdCvL802Ku
SHINHWA,42,296165,spotify:artist:0jVvkFPa6YbFXQ3Qmhita0
B.A.P,43,758664,spotify:artist:6kxCoNfY6U1eP0Yc88phvk
EPEX,42,190006,spotify:artist:4e2umhzNHTSeQnSCWPN0uT
BLACKSWAN,43,113722,spotify:artist:2ujaWf015QoP7x1u20Yq5G
PIXY,40,164957,spotify:artist:0CJkEzffVZLgav03xXeC9s
EXO-SC,46,1199801,spotify:artist:6741jcSlgsv0M3B4ruIPS5
Orange Caramel,40,316066,spotify:artist:2QHTtUsN6Q13w3QHdfRqsK
NU'EST,43,1022341,spotify:artist:1iQfn1B8V25iQoolQakyAZ
Brown Eyed Girls,40,262632,spotify:artist:2GEPtT5RDxrmdi0A4mbDi7
CNBLUE,47,714919,spotify:artist:6dCz3spfpIvqqqsIoP6wXi
VERIVERY,40,338461,spotify:artist:1fWUcRSok57yRm8gPKj1Fc
TEEN TOP,43,398289,spotify:artist:3offPqpKAKmpQkIdWnjzkc
MOONBIN&SANHA(ASTRO),44,160759,spotify:artist:2jrwm2knXPMawr5p8FuC2h
SECRET NUMBER,49,221160,spotify:artist:7qxo9RTWfEoFKN7XGtNV6V
KINGDOM,37,176123,spotify:artist:0p5Ot7c8cFHtS82hd1WBN3
VAV,39,808615,spotify:artist:3riGN5iBVBk5naQxUDr5fk
SS501,45,253382,spotify:artist:6rmMpoeu2SIV4OLURCOn2e
ONF,41,623565,spotify:artist:0eEhOgZ2x6kv8kLz77WO7b
APRIL,38,503968,spotify:artist:4cJ99wTjC60pXcfyISL9fa
Golden Child,39,645100,spotify:artist:5zShiwTHlygdfsXj6eavTu
B1A4,41,578941,spotify:artist:3sxWOFw4MSN54SIQ8np6iG
TEMPEST,48,156305,spotify:artist:1iyFL3CRuKW7PXgPH4VxSP
DKB,37,146509,spotify:artist:4DoedGw38ubJdAT1edFsIx
After School,40,353175,spotify:artist:1loWI8jVk9btgJXHgqHXPD
Say Yes!,45,4828,spotify:artist:7sPKpBhx7fwPp9wMGYvQJI
Lovelyz,39,446340,spotify:artist:3g34PW5oNmDBxMVUTzx2XK
H1-KEY,41,72867,spotify:artist:5GwQwY63I9hrUUFlQB8FYU
